date,daily_open_price,daily_close_price,daily_change,daily_min_price,daily_max_price,daily_avg_price,current_max_price,price_ratio,MA_30,MA_60,MA_90,MA_120,MA_150,MA_180,MA30_ratio,MA60_ratio,MA90_ratio,MA120_ratio,MA150_ratio,MA180_ratio,value_classification,value
20/11/2020,17816.89241,18666.9551,0.047711053,17758.65367,18809.15846,18283.90607,18283.90607,0,14866.65775,12938.82793,12262.82218,12034.00696,11470.12902,11136.94728,-0.186899249,-0.292337869,-0.329310589,-0.34182516,-0.372665284,-0.390887962,Extreme Greed,86
21/11/2020,18666.95553,18672.29685,0.000286138,18443.95914,18958.51375,18701.23645,18701.23645,0,15058.13335,13075.937,12341.44065,12110.14773,11531.8352,11191.8378,-0.194805467,-0.300798263,-0.340073546,-0.352441334,-0.383365093,-0.40154557,Extreme Greed,91
22/11/2020,18672.29709,18389.44765,-0.01514808,17653.52154,18719.64219,18186.58186,18701.23645,-0.027519816,15234.79945,13206.56798,12413.30462,12181.32083,11591.88445,11243.6628,-0.162305508,-0.27382902,-0.317447076,-0.330202843,-0.362613352,-0.381760526,Extreme Greed,94
23/11/2020,18389.44533,18368.20232,-0.001155174,17994.18755,18744.63982,18369.41369,18701.23645,-0.017743359,15412.77341,13337.68414,12490.16148,12251.82907,11653.1998,11295.62926,-0.160954526,-0.273918898,-0.320056607,-0.333031022,-0.365619393,-0.385084933,Extreme Greed,90
24/11/2020,18368.20411,19154.50955,0.042807965,18084.98972,19410.0677,18747.52871,18747.52871,0,15599.94623,13472.35579,12571.79732,12319.18739,11718.05286,11347.75247,-0.167893194,-0.281379642,-0.329415759,-0.342890064,-0.374954798,-0.394706756,Extreme Greed,88
25/11/2020,19154.51089,18721.24898,-0.022619315,18523.5115,19486.7104,19005.11095,19005.11095,0,15799.31947,13610.07732,12656.6177,12386.54197,11784.31029,11400.70507,-0.168680493,-0.283872778,-0.334041367,-0.348252057,-0.379939937,-0.400124256,Extreme Greed,94
26/11/2020,18721.24913,17192.3217,-0.081668024,16248.11331,18899.14969,17573.6315,19005.11095,-0.075320762,15937.75367,13724.4213,12724.97947,12440.41266,11840.61749,11445.36764,-0.093087068,-0.219033283,-0.275904956,-0.292097785,-0.326228191,-0.348719265,Extreme Greed,93
27/11/2020,17192.32289,17161.46611,-0.0017948,16505.4442,17481.31754,16993.38087,19005.11095,-0.105852057,16057.93209,13827.18545,12785.79812,12490.10321,11893.00285,11486.74203,-0.055047832,-0.186319335,-0.247601274,-0.265001867,-0.300139099,-0.324046103,Extreme Greed,86
28/11/2020,17161.46537,17738.23136,0.033608202,16894.97741,17896.0399,17395.50866,19005.11095,-0.084693128,16194.18991,13937.81744,12850.18697,12541.57896,11947.64826,11528.41517,-0.069059133,-0.198769193,-0.26129283,-0.279033502,-0.313176263,-0.337276339,Extreme Greed,87
29/11/2020,17738.22954,18198.59004,0.025953013,17548.83342,18333.38456,17941.10899,19005.11095,-0.055985043,16345.48991,14057.4083,12919.71139,12594.85233,12006.51643,11573.69124,-0.08893648,-0.216469377,-0.279882231,-0.297989197,-0.330781813,-0.354906586,Extreme Greed,89
